;class;message;stemmed;not_stemmed
561;ham;Hi msg me:)i'm in office..;hi mug offic;hi mug me i m in office
562;ham;Thanx 4 e brownie it's v nice...;number e browni v nice;than number e brownie it s v nice
563;ham;Geeeee ... I love you so much I can barely stand it;gees love much bare stand;geese i love you so much i can barely stand it
564;spam;GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ;gent tri contact last weekend draw show moneysymb number prize guarante call number claim code k number valid number number ppm;gent we are trying to contact you last weekends draw shows that you won a moneysymb number prize guaranteed call number claim code k number valid number his only number ppm
565;ham;Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...;fuck babe miss alreadi know let send money toward net need want crave;fuck babe i miss you already you know can t you let me send you some money towards your net i need you i want you i crave you
566;ham;Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?;ill call number mow finish address icki american free wont stop call number bad men k eh;ill call you number mow at finish with my address that icky american free wont stop calling me number bad men k eh
567;ham;Oooh bed ridden ey? What are YOU thinking of?;ooh bed ridden think;ooh bed ridden my what are you thinking of
568;ham;So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already;anyway go gym whatev love smile hope ok good day babe miss much alreadi;so anyways you can just go to your gym or whatever my love smiles i hope your ok and having a good day babe i miss you so much already
569;ham;Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!;love daddi make scream pleasur go slap ass dick;love it daddy will make you scream with pleasure i am going to slap your ass with my dick
570;ham;WOT U WANNA DO THEN MISSY?;wot wanna missi;wot you wanna do then missy
571;ham;Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...;car wait number mum number finish lunch whole morn stay home clean room room quit clean;car for wait number my mum number finish such then have lunch for i whole morning stay at home clean my room now my room quite clean he
572;ham;Do you know where my lab goggles went;know lab goggl went;do you know where my lab goggles went
573;ham;Can you open the door?;open door;can you open the door
574;ham;Waiting for your call.;wait call;waiting for your call
575;ham;Nope i waiting in sch 4 daddy... ;nope wait number daddi;nope i waiting in such number daddy
576;spam;You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327;number number cash number number prize claim call number;you have won number number cash or a number number prize to claim call number
577;ham;I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.;tire argu week week want;i m tired of arguing with you about this week after week do what you want and from now on i all do the same
578;ham;Ü wait 4 me in sch i finish ard 5..;wait number finish ard number;i wait number me in such i finish ard number
579;spam;our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.;mobil number moneysymb number claim call us back ring claim hot line number;our mobile number has won moneysymb number to claim calls us back or ring the claims hot line on number
580;ham;"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.";marriag r walk unfortun snake bite u bt love marriag danc front snake amp say bite bite;and marriage is while you r walking unfortunately a snake bites u bt love marriage is dancing in front of d snake amp saying bite me bite me
581;ham;Huh so early.. Then ü having dinner outside izzit?;huh earli dinner outsid izmit;huh so early then i having dinner outside izmit
582;ham;Ok anyway no need to change with what you said;ok anyway need chang said;ok anyway no need to change with what you said
583;spam;We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow;tri contact repli offer number mind number extend new video phone call phonenumb repli free deliveri tomorrow;we tried to contact you re your reply to our offer of number mind number extend a new video phone call phonenumber now or reply for free delivery tomorrow
584;ham;my ex-wife was not able to have kids. Do you want kids one day?;ex wife abl kid want kid one day;my ex wife was not able to have kids do you want kids one day
585;ham;So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream;scotland hope show job tendenc take care live dream;so how s scotland hope you are not over showing your job tendencies take care live the dream
586;ham;Tell them u have a headache and just want to use 1 hour of sick time.;tell headach want use number hour sick time;tell them you have a headache and just want to use number hour of sick time
587;ham;I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ;dun quit yet hamm go jazz yogasana go meet em lesson den;i dun the i all quit yet hamm can go jazz yogasana so can we can go meet em after our lessons den
588;ham;Pete can you please ring meive hardly gotany credit;pete pleas ring reiv hardli botani credit;pete can you please ring reive hardly botany credit
589;ham;Ya srsly better than yi tho;ya truli better tho;ya truly better than i tho
590;ham;I'm in a meeting, call me later at;meet call later;i m in a meeting call me later at
591;spam;For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk;ur chanc win moneysymb number wili shop spree text shop number c httpaddr custard number number x number p;for ur chance to win a moneysymb number wily shopping spree text shop to number t s c s httpaddr custard number number x number p we
592;spam;You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo;special select receiv number pound award call phonenumb line close cost number ppm number cs appli ag promo;you have been specially selected to receive a number pound award call phonenumber before the lines close cost number ppm number t cs apply ag promo
593;spam;PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04;privat number account statement phonenumb show number redeem point call phonenumb identifi code number expir number number number;private your number account statement for phonenumber shows number in redeemed s i m points call phonenumber identifier code number expires number number number
594;ham;You still at grand prix?;still grand prim;you still at grand prim
595;ham;I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...;met stranger choos friend long world stand friendship never end let friend forev guy nit;i met you as a stranger and choose you as my friend as long as the world stands our friendship never ends lets be friends forever guy nit
596;ham;I am great! How are you?;great;i am great how are you
597;ham;Gud mrng dear have a nice day;guy ming dear nice day;guy ming dear have a nice day
598;spam;You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!;import custom servic announc call freephon number number number;you have an important customer service announcement call freephone number number number now
599;ham;Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too;exhaust train morn much wine pie sleep well;will do was exhausted on train this morning too much wine and pie you sleep well too
600;ham;I'm going out to buy mum's present ar.;go buy mum present ar;i m going out to buy mum s present ar
601;ham;Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D;mind blast tsunami occur rajnik stop swim indian ocean;mind blasting no more tsunamis will occur from now on rajnikant stopped swimming in indian ocean d
602;ham;If u sending her home first it's ok lor. I'm not ready yet.;send home first ok readi yet;if you sending her home first it s ok for i m not ready yet
603;ham;Speaking of does he have any cash yet?;speak cash yet;speaking of does he have any cash yet
604;ham;Be happy there. I will come after noon;happi come noon;be happy there i will come after noon
605;ham;Meet after lunch la...;meet lunch la;meet after lunch la
606;ham;TaKe CaRE n gET WeLL sOOn;take care n get well soon;take care n get well soon
607;spam;XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ;exclus clubsaisai number moron number number sire special souk nichol httpaddr rose number ladi info number number;exclusive clubsaisai number moron number number siree special souk with nichols from httpaddr roses number all ladies info number number
608;ham;what I meant to say is cant wait to see u again getting bored of this bridgwater banter;meant say cant wait see get bore bridgwat banter;what i meant to say is cant wait to see you again getting bored of this bridgwater banter
609;ham;Neva mind it's ok..;neva mind ok;neva mind it s ok
610;ham;It's fine, imma get a drink or somethin. Want me to come find you?;fine emma get drink someth want come find;it s fine emma get a drink or something want me to come find you
611;spam;22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222;number day kick euro number kept date latest news result daili remov send get text stop number;number days to kick off for euro number you will be kept up to date with the latest news and results daily to be removed send get text stop to number
612;ham;Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me;valentin game send di mug ur friend number answer r someon realli love u que color suit best reli;its a valentine game send dis mug to all ur friends if number answers r d same then someone really loves u que which color suits me the best rely me
613;ham;I have many dependents;mani depend;i have many dependents
614;ham;THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C;number today nice number catch ave number find time often oh well take care c soon c;than number today her it was nice number catch up but we ave number find more time more often oh well take care c you soon c
615;ham;I called and said all to him:)then he have to choose this future.;call said choos futur;i called and said all to him then he have to choose this future
616;ham;Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...;happi valentin day know earli hundr handsom beauti wish thought finish aunti uncl number st;happy valentines day i know its early but i have hundreds of handsome and beauties to wish so i thought to finish off aunties and uncles number st
617;ham;He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.;like v shock let co tell shufu like tell leona also like almost know liao got ask ur reaction;he like not v shock let cos telling shufu is like telling leona also like at almost all know liao he got ask me at ur reaction for
618;ham;For my family happiness..;famili happi;for my family happiness
619;ham;I come n pick ü up... Come out immediately aft ur lesson...;come n pick come immedi aft ur lesson;i come n pick i up come out immediately aft ur lesson
620;ham;Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.;let snow let snow kind weather bring pal togeth friendship grow;let there be snow let there be snow this kind of weather brings pal together so friendships can grow
621;ham;"Dear we got  &lt;#&gt;  dollars hi hi";dear got lt dollar hi hi;dear we got lt it dollars hi hi
622;ham;Good words.... But words may leave u in dismay many times.;good word word may leav dismay mani time;good words but words may leave you in dismay many times
623;ham;MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED;make sure alex know birthday fifteen minut far concern;make sure alex knows his birthday is over in fifteen minutes as far as you re concerned
624;ham;sorry, no, have got few things to do. may be in pub later.;sorri got thing may pub later;sorry no have got few things to do may be in pub later
625;ham;Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash;nah straight bring bud drink someth actual littl use straight cash;nah it s straight if you can just bring bud or drinks or something that s actually a little more useful than straight cash
626;ham;Haha good to hear, I'm officially paid and on the market for an 8th;hah good hear offici paid market number th;hah good to hear i m officially paid and on the market for an number th
627;ham;How many licks does it take to get to the center of a tootsie pop?;mani lick take get center tootsi pop;how many licks does it take to get to the center of a tootsie pop
628;ham;Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.;yup r e teacher said make face look longer darren ask number cut short;yup i the they r e teacher said that will make my face look longer darren ask me not number cut too short
629;spam;New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693;new textbuddi chat number horni guy ur area number number p free number receiv search postcod httpaddr text one name number;new textbuddy chat number horny guys in ur area number just number p free number receive search postcode or at httpaddr text one name to number
630;spam;Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.;today vodafon number end number select receiv moneysymb number award number match call phonenumb receiv moneysymb number award;today vodafone numbers ending with number are selected to a receive a moneysymb number award if your number matches call phonenumber to receive your moneysymb number award
631;ham;Please dont say like that. Hi hi hi;pleas say like hi hi hi;please don't say like that hi hi hi
632;ham;Thank u!;thank u;thank u
633;ham;Oh that was a forwarded message. I thought you send that to me;oh forward messag thought send;oh that was a forwarded message i thought you send that to me
634;ham;Got it. Seventeen pounds for seven hundred ml – hope ok.;got seventeen pound seven hundr hope ok;got it seventeen pounds for seven hundred my hope ok
635;spam;Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.;dear voucher holder number claim week offer pa go httpaddr ts cs appli number stop text text stop number;dear voucher holder number claim this weeks offer at your pa go to httpaddr ts cs apply number stop texts text stop to number
636;ham;Me n him so funny...;n funni;me n him so funny
637;ham;Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola;sweetheart hope kind day one load reason smile viola;sweetheart hope you are not having that kind of day have one with loads of reasons to smile viola
638;ham;When ü login dat time... Dad fetching ü home now?;login time dad fetch home;when i login at time dad fetching i home now
639;ham;What will we do in the shower, baby?;shower babi;what will we do in the shower baby
640;ham;I had askd u a question some hours before. Its answer;ask question hour answer;i had ask you a question some hours before its answer
641;ham;Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out;well emma definit need restock thanksgiv let know;well emma definitely need to restock before thanksgiving i all let you know when i m out
642;ham; said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ;said kiss kiss sound effect gorgeou man kind person need smile brighten day;said kiss kiss i can t do the sound effects he is a gorgeous man in t he kind of person who needs a smile to brighten his day
643;ham;Probably gonna swing by in a wee bit;probabl gonna swing wee bit;probably gonna swing by in a wee bit
644;ham;Ya very nice. . .be ready on thursday;ya nice readi thursday;ya very nice be ready on thursday
645;ham;Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week;brave buse taken train triumph mean b ham jolli good rest week;all we have braved the buses and taken on the trains and triumphed i mean we re in b ham have a jolly good rest of week
646;ham;"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?";watch cartoon listen music amp eve go templ amp church u;watching cartoon listening music amp at eve had to go temple amp church what about u
647;ham;Do you mind if I ask what happened? You dont have to say if it is uncomfortable.;mind ask happen say uncomfort;do you mind if i ask what happened you don't have to say if it is uncomfortable
648;spam;PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04;privat number account statement show number redeem point call phonenumb identifi code number expir number number number;private your number account statement for shows number in redeemed s i m points call phonenumber identifier code number expires number number number
649;ham;No prob. I will send to your email.;rob send email;no rob i will send to your email
650;spam;You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm;number number cash number number prize claim call number c room sw number number ss number ppm;you have won number number cash or a number number prize to claim call number t c room sw number number ss number ppm
651;ham;Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :);cool sometim slow gentl sometim rough hard;that cool sometimes slow and gentle sometimes rough and hard
652;ham;I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?;gonna say sorri would normal start panic time sorri see tuesday;i m gonna say no sorry i would but as normal am starting to panic about time sorry again are you seeing on tuesday
653;ham;Wait, do you know if wesleys in town? I bet she does hella drugs!;wait know wesley town bet hell drug;wait do you know if wesley in town i bet she does hell drugs
654;ham;Fine i miss you very much.;fine miss much;fine i miss you very much
655;ham;Did u got that persons story;got person stori;did you got that persons story
656;ham;Tell them the drug dealer's getting impatient;tell drug dealer get impati;tell them the drug dealer s getting impatient
657;ham;Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng;sun cant come earth send lug ray cloud cant come river send lug rain cant come meet u send care mug u guy eng;sun cant come to earth but send lug as rays cloud cant come to river but send lug as rain i cant come to meet u but can send my care as mug to u guy eng
658;ham;You will be in the place of that man;place man;you will be in the place of that man
659;ham;It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com;make sens take unless free need know httpaddr;it doesn't make sense to take it there unless its free if you need to know more httpaddr
660;spam;88800 and 89034 are premium phone services call 08718711108;number number premium phone servic call number;number and number are premium phone services call number
661;ham;Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... ';sea lay rock rock envelop envelop paper paper number word;under the sea there lays a rock in the rock there is an envelope in the envelope there is a paper on the paper there are number words
662;ham;Then mum's repent how?;mum repent;then mum s repent how
663;ham;Sorry me going home first... Daddy come fetch ü later...;sorri go home first daddi come fetch later;sorry me going home first daddy come fetch i later
664;ham;Leave it de:-). Start Prepare for next:-)..;leav de start prepar next;leave it de start prepare for next
665;ham;"Yes baby! We can study all the positions of the kama sutra ;)";ye babi studi posit kama sutra;yes baby we can study all the positions of the kama sutra
666;ham;En chikku nange bakra msg kalstiya..then had tea/coffee?;en chick rang basra mug kalstiya tea coffe;en chick range basra mug kalstiya then had tea coffee
667;ham;Carlos'll be here in a minute if you still need to buy;carlo minut still need buy;carlos all be here in a minute if you still need to buy
668;ham;"This pay is  &lt;DECIMAL&gt;  lakhs:)";pay lt decim lakh;this pay is lt decimal it lakhs
669;ham;Have a good evening! Ttyl;good even tell;have a good evening tell
670;ham;Did u receive my msg?;receiv mug;did you receive my mug
671;ham;Ho ho - big belly laugh! See ya tomo;ho ho big belli laugh see ya;ho ho big belly laugh see ya too
672;spam;"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468";sum ac sun number post hello seem cool want say hi hi stop send stop number;sums ac sun number posts hello you seem cool wanted to say hi hi stop send stop to number
673;spam;Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16;get ur number st inton free repli mug tone gr number top number tone phone everi week moneysymb number per number opt send stop phonenumb number;get ur number st intone free now reply to this mug with tone gr number top number tones to your phone every week just moneysymb number per we number opt out send stop phonenumber number
674;ham;Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.;ditto worri say anyth anymor like said last night whatev want peac;ditto and you won t have to worry about me saying anything to you anymore like i said last night you do whatever you want and i all do the same peace
675;ham;"I've got  &lt;#&gt; , any way I could pick up?";got lt way could pick;i we got lt it any way i could pick up
676;ham;I dont knw pa, i just drink milk..;know pa drink milk;i don't know pa i just drink milk
677;ham;Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ;mayb say hi find got card great escap wetherspoon;maybe say hi to and find out if got his card great escape or wetherspoons
678;ham;Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...;piggi r awak bet u still sleep go number lunch;piggy r you awake i bet u re still sleeping i m going number lunch now
679;ham;Cause I'm not freaky lol;caus freaki lot;cause i m not freaky lot
680;ham;Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.;miss call caus yell scrappi miss u wait come home lone today;missed your call cause i was yelling at scrappy miss u can t wait for you to come home i m so lonely today
681;ham;What is this 'hex' place you talk of? Explain!;hex place talk explain;what is this hex place you talk of explain
682;ham;Ü log off 4 wat. It's sdryb8i;log number wat dri number;i log off number wat it s dry number i
683;ham;Is xy going 4 e lunch?;go number e lunch;is my going number e lunch
684;spam;Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+;hi sue number year old work lapland love sex text live bedroom text sue number textoper g number number number pom number;hi i m sue i am number years old and work as a laplander i love sex text me live i m i my bedroom now text sue to number by textoperator g number number a number poms number
685;ham;I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.;want ask wait number finish let co let finish hour anyway;i wanted to ask i to wait number me to finish let cos my let finishes in an hour anyway
686;ham;Have you finished work yet? :);finish work yet;have you finished work yet
687;ham;Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8;everi king cri babi everi great build map import r today reach tomorrow guy ni number;every king was once a crying baby and every great building was once a map not important where you r today but where you will reach tomorrow guy ni number
688;ham;Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.;dear httpaddr case r come cochin plu call start shall also reach httpaddr tell day r httpaddr engag an holiday;dear me at httpaddr case you r coming cochin plus call before you start i shall also reach httpaddr tell me which day you r httpaddr i am engaged ans its holiday
689;ham;Thanks love. But am i doing torch or bold.;thank love torch bold;thanks love but am i doing torch or bold
690;spam;<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.;forward number pleas call phonenumb immedi urgent messag wait;forwarded from number please call phonenumber immediately as there is an urgent message waiting for you
691;ham;Was the farm open?;farm open;was the farm open
692;ham;Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.;sorri troubl buy number dad number number number number big number small sat n sun;sorry to trouble you again can buy number d for my dad again number number number all number big number small sat n sun than
693;ham;My sister in law, hope you are having a great month. Just saying hey. Abiola;sister law hope great month say hey viola;my sister in law hope you are having a great month just saying hey viola
694;ham;Will purchase d stuff today and mail to you. Do you have a po box number?;purchas stuff today mail po box number;will purchase d stuff today and mail to you do you have a po box number
695;ham;Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem;ah poop look like ill rob send laptop get fix cut pu problem;ah poop looks like ill rob have to send in my laptop to get fixed cut it has a pu problem
696;ham;Good. Good job. I like entrepreneurs;good good job like entrepreneur;good good job i like entrepreneurs
697;ham;Aight, you close by or still down around alex's place?;right close still around alex place;right you close by or still down around alex s place
698;ham;meet you in corporation st outside gap … you can see how my mind is working!;meet corpor st outsid gap see mind work;meet you in corporation st outside gap you can see how my mind is working
699;ham;Mum ask ü to buy food home...;mum ask buy food home;mum ask i to buy food home
700;ham;K..u also dont msg or reply to his msg..;k u also mug repli mug;k u also don't mug or reply to his mug
701;ham;How much r ü willing to pay?;much r will pay;how much r i willing to pay
702;ham;Sorry, I'll call later;sorri call later;sorry i all call later
703;ham;What is important is that you prevent dehydration by giving her enough fluids;import prevent dehydr give enough fluid;what is important is that you prevent dehydration by giving her enough fluids
704;ham;Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!;bit weird even suppos happen good idea sure pub;that a bit weird even where is the do supposed to be happening but good idea sure they will be in pub
705;ham;True dear..i sat to pray evening and felt so.so i sms'd you in some time...;true dear sat pray even felt httpaddr sum time;true dear i sat to pray evening and felt httpaddr i sums d you in some time
706;ham;I don't think I can get away for a trek that long with family in town, sorry;think get away trek long famili town sorri;i don t think i can get away for a trek that long with family in town sorry
707;ham;So when do you wanna gym harri;wanna gym harri;so when do you wanna gym harry
708;ham;Quite late lar... Ard 12 anyway i wun b drivin...;quit late lar ard number anyway run b drive;quite late lar ard number anyway i run b driving
709;spam;To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT;review keep fantast nokia n gage game deck club nokia go number httpaddr unsubscrib alert repli word;to review and keep the fantastic nokia n gage game deck with club nokia go number httpaddr unsubscribe from alerts reply with the word out
710;spam;4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs;number myth half price orang line rental latest camera phone number free phone number myth call mobilesdirect free phonenumb updat number stoptxt cs;number myths half price orange line rental latest camera phones number free had your phone number myths call mobilesdirect free on phonenumber to update now or number stoptxt t cs
711;ham;"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..";height confid aeronaut professor call amp ask number sit airplan sat told plane made student dey hurri plane bt number move said made student wont even start date confid;height of confidence all the aeronautics professors we call amp they we ask number sit in an airplane after they sat they we told at the plane is made by their students dey all hurried out of d plane bt only number didn't move he said if it is made by my students this wont even start date confidence
712;ham;It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke;seem like weird time night g want come smoke day shitstorm attribut alway come make everyon smoke;it just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
713;spam;08714712388 between 10am-7pm Cost 10p;number number number pm cost number p;number between number am number pm cost number p
714;ham;Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.;save stress person dorm account send account detail money sent;save yourself the stress if the person has a dorm account just send your account details and the money will be sent to you
715;ham;He also knows about lunch menu only da. . I know;also know lunch menu know;he also knows about lunch menu only a i know
716;ham;When i have stuff to sell i.ll tell you;stuff sell httpaddr tell;when i have stuff to sell httpaddr tell you
717;spam;+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50;number urgent number nd attempt contact u u moneysymb number call phonenumb b number number csc number number n number ex calico number ppm mobilesvari max moneysymb number number;number urgent this is the number nd attempt to contact u u have won moneysymb number call phonenumber b number number t csc number we number n number ex calicos number ppm mobilesvary max moneysymb number number
718;ham;Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748;book lesson mug call work seth go get spec membership ex number;book which lesson then you mug me i will call up after work or seth i m going to get specs my membership is ex number
719;spam;You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm;guarante moneysymb number cash moneysymb number prize claim prize call custom servic repres phonenumb number number pm;you have won a guaranteed moneysymb number cash or a moneysymb number prize to claim or prize call our customer service representative on phonenumber between number am number pm
720;ham;Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime;macho feel upset assum httpaddr one even wonder plan httpaddr life begin httpaddr anytim;macho don't feel upset i can assume your httpaddr me one evening with me and i have some wonderful plans for both of httpaddr life begin httpaddr me anytime
721;ham;Oh is it? Send me the address;oh send address;oh is it send me the address
722;ham;S'fine. Anytime. All the best with it.;fine anytim best;s fine anytime all the best with it
723;ham;That is wondar full flim.;wonder full film;that is wonder full film
724;ham;Ya even those cookies have jelly on them;ya even cooki jelli;ya even those cookies have jelly on them
725;ham;The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.;world run httpaddr feel httpaddr admit httpaddr correct let call httpaddr keep run world may r also httpaddr run;the world is running and i am httpaddr all are feeling the same so be httpaddr i have to admit i am httpaddr where is the correction or let me call this is httpaddr keep running with the world may be you r also httpaddr run
726;ham;Got it! It looks scrumptious... daddy wants to eat you all night long!;got look scrumptiou daddi want eat night long;got it it looks scrumptious daddy wants to eat you all night long
727;ham;Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...;co lar ba ok number pm never ask go ah said would ask fri said ask today;of cos can lar i m not so ba do ok number pm for y you never ask where we go ah i said you would ask on fri but he said you will ask today
728;ham;Alright omw, gotta change my order to a half8th;alright ow gotta chang order half number th;alright ow gotta change my order to a half number th
729;ham;Exactly. Anyways how far. Is jide her to study or just visiting;exactli anyway far side studi visit;exactly anyways how far is side her to study or just visiting
730;ham;Dunno y u ask me.;dunno ask;dunno y you ask me
731;spam;Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123;email alertfrom jeri stewarts number subject low cost prescript drvgsto listen email call number;email alertfrom jeri stewartsize number subject low cost prescription drvgsto listen to email call number
732;ham;No he didn't. Spring is coming early yay!;spring come earli say;no he did t spring is coming early say
733;ham;Lol you won't feel bad when I use her money to take you out to a steak dinner =D;lot feel bad use money take steak dinner;lot you won t feel bad when i use her money to take you out to a steak dinner d
734;ham;Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply;even get troubl convinc tell twice tell neglect mug c read repli;even you don't get in trouble while convincing just tell him once or twice and just tell neglect his mugs don't c and read it just don't reply
735;ham;Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh;leav qatar tongu search httpaddr went httpaddr add ur prayer httpaddr;leaving to qatar tongue in search of an httpaddr went httpaddr add me in ur prayers httpaddr
736;ham;Then why no one talking to me;one talk;then why no one talking to me
